image_path,expression_id,age
faces/train/ffhq_1001_png_jpg.rf.681261072e3321923d91376dfaf2e847.jpg,6,17.5
faces/train/ffhq_1001_png_jpg.rf.9a11a1a476a87e01046da6427c27ed0f.jpg,6,50.5
faces/train/ffhq_1001_png_jpg.rf.db894d7fbdf0fd92615d57648fc9154b.jpg,6,17.5
faces/train/ffhq_1003_png_jpg.rf.867af092e24e5307efd12c668ac804f6.jpg,3,10.0
faces/train/ffhq_1003_png_jpg.rf.d0e39a21c81252004d484ead65e1893b.jpg,3,17.5
faces/train/ffhq_1003_png_jpg.rf.d7e485b776bd06109e6c979313b89447.jpg,3,10.0
faces/train/ffhq_1004_png_jpg.rf.28f2d5989f9fdf21e186755b1176f297.jpg,3,10.0
faces/train/ffhq_1004_png_jpg.rf.4c0a97ffdec737f33a544d0e0937af1f.jpg,3,28.5
faces/train/ffhq_1004_png_jpg.rf.e267f24d5cd82fed8085845078abce75.jpg,3,28.5
faces/train/ffhq_1008_png_jpg.rf.2f7649c82caf529ac6cf4998b271abfb.jpg,6,40.5
faces/train/ffhq_1008_png_jpg.rf.c75b439a01861879526e4c277223f950.jpg,6,50.5
faces/train/ffhq_1008_png_jpg.rf.fcbccb2ee854a9497684dffa762584da.jpg,6,40.5
faces/train/ffhq_100_png_jpg.rf.2b8ee9f62cbfb8791c702be3cf8f2813.jpg,6,5.0
faces/train/ffhq_100_png_jpg.rf.33cab1006ed6df4f44715fd7bf51b46c.jpg,6,1.0
faces/train/ffhq_100_png_jpg.rf.b5e450aa82b2a78d503692b48bf3a85e.jpg,6,5.0
faces/train/ffhq_1010_png_jpg.rf.0b16af6d0fc0fa1c0d674e28d28e21a5.jpg,6,10.0
faces/train/ffhq_1010_png_jpg.rf.6b2738d1c4f9e32ba209ec97af759da4.jpg,6,5.0
faces/train/ffhq_1010_png_jpg.rf.a47a4aef860483cdb24bb5e35f241857.jpg,6,10.0
faces/train/ffhq_1011_png_jpg.rf.2c7f52d0079cf8664d05614312b56583.jpg,0,28.5
faces/train/ffhq_1011_png_jpg.rf.9ddd497b431c601dcbb7ef7016452f2e.jpg,0,28.5
faces/train/ffhq_1011_png_jpg.rf.a1a66933e897156b1d712959960778f7.jpg,0,28.5
faces/train/ffhq_1018_png_jpg.rf.22519dabd660c39361b0520d21076e14.jpg,3,50.5
faces/train/ffhq_1018_png_jpg.rf.571a7c76c61b5bf1a5101cd4f1d049f1.jpg,3,50.5
faces/train/ffhq_1018_png_jpg.rf.60b8577e770f14c321bdeead3c8b6362.jpg,3,80.0
faces/train/ffhq_1019_png_jpg.rf.052ab59fab3b7985997444c3aec26451.jpg,6,5.0
faces/train/ffhq_1019_png_jpg.rf.4b4f1a6f370094207d1958def2e686a0.jpg,6,1.0
faces/train/ffhq_1019_png_jpg.rf.a1f3bded6436b587a5ddeceeb5a75c44.jpg,6,1.0
faces/train/ffhq_101_png_jpg.rf.62306cee6fbb3f43cd80308f13543029.jpg,5,1.0
faces/train/ffhq_101_png_jpg.rf.62d62856b87b2892968779dabebdbdc5.jpg,5,28.5
faces/train/ffhq_101_png_jpg.rf.7b4a9edf9278043ecd6b8b5432dd8ba3.jpg,5,1.0
faces/train/ffhq_1020_png_jpg.rf.0001c7b578ddfb7f19d883dc602df804.jpg,1,28.5
faces/train/ffhq_1020_png_jpg.rf.0c92b69e012bfecba44dc5523d18a478.jpg,1,28.5
faces/train/ffhq_1020_png_jpg.rf.f95ef97f882135f7b3ca092d5b976050.jpg,1,28.5
faces/train/ffhq_1022_png_jpg.rf.181dfef0fc18c371d8fb52e3eb76c3f0.jpg,6,28.5
faces/train/ffhq_1022_png_jpg.rf.313b64a698ad8c61f11c1c029bc936f1.jpg,6,28.5
faces/train/ffhq_1022_png_jpg.rf.a2956cd7210ea0c5511a6d82734f5546.jpg,6,17.5
faces/train/ffhq_1027_png_jpg.rf.389c9f7b63096f8bcfd8c0f034a07a68.jpg,3,5.0
faces/train/ffhq_1027_png_jpg.rf.7692aefe3766db00e0ede9482dc29ce0.jpg,3,1.0
faces/train/ffhq_1027_png_jpg.rf.cffbf47d5d4253a758392353eb6a4366.jpg,3,1.0
faces/train/ffhq_1028_png_jpg.rf.0c8fecb5b81c4b94fd31c700073e98d5.jpg,2,28.5
faces/train/ffhq_1028_png_jpg.rf.6ec769c525d3191c271cf93e97e709f2.jpg,2,1.0
faces/train/ffhq_1028_png_jpg.rf.747fbfc4807c8dd98bacc70f27a8b378.jpg,2,28.5
faces/train/ffhq_1034_png_jpg.rf.249230a3251b1861613a8c4fecb28b51.jpg,6,28.5
faces/train/ffhq_1034_png_jpg.rf.8f23dab933ce7c2d49a50f1a82d2bcb8.jpg,6,28.5
faces/train/ffhq_1034_png_jpg.rf.c9168935c42112803ae2907c49a225ae.jpg,6,28.5
faces/train/ffhq_1036_png_jpg.rf.0782aad3d196aa0be4638bf2d320b4c5.jpg,3,10.0
faces/train/ffhq_1036_png_jpg.rf.b2b0034b6cf13aa0d4782d5d0d8b0b5b.jpg,3,10.0
faces/train/ffhq_1036_png_jpg.rf.d747695f84fd7d3a2c822a657c589954.jpg,3,28.5
faces/train/ffhq_1038_png_jpg.rf.804ba12d6c21de1777bdae4fca715e0b.jpg,6,5.0
faces/train/ffhq_1038_png_jpg.rf.a6a515bfeb6452b49ff4e5b31aa086f1.jpg,6,5.0
faces/train/ffhq_1038_png_jpg.rf.ba1e025edf4c592b42641c5ef17f0837.jpg,6,1.0
faces/train/ffhq_103_png_jpg.rf.53847d19bae144884ba3c9825e1a6b6f.jpg,6,28.5
faces/train/ffhq_103_png_jpg.rf.905c5ec6f6eb3e122cd8e0bf7f8e8317.jpg,6,28.5
faces/train/ffhq_103_png_jpg.rf.975001567f9e6dda46751ba43a3c351d.jpg,6,28.5
faces/train/ffhq_1041_png_jpg.rf.66e00233619f5bcc560e2e6e5c5f3d38.jpg,6,28.5
faces/train/ffhq_1041_png_jpg.rf.ce928b9592e837ef427fa975113d2e7f.jpg,6,10.0
faces/train/ffhq_1041_png_jpg.rf.e8d3ca571e26b081e96ec5481d53ce1b.jpg,6,40.5
faces/train/ffhq_1045_png_jpg.rf.26ac86998915f097d1e68497595d59e5.jpg,3,5.0
faces/train/ffhq_1045_png_jpg.rf.c2c0a931b06a2b923f215b74ef5ec4ae.jpg,3,10.0
faces/train/ffhq_1045_png_jpg.rf.dbe7694daa3b867f046ec4634c244b9e.jpg,3,10.0
faces/train/ffhq_1049_png_jpg.rf.22dd7c308c1b47cd39e1e70b8c7e812a.jpg,5,28.5
faces/train/ffhq_1049_png_jpg.rf.84f754b93498f7e2b9c9601962ef6b28.jpg,5,1.0
faces/train/ffhq_1049_png_jpg.rf.8e5fbb1efea01c78c501af666d7f6169.jpg,5,28.5
faces/train/ffhq_104_png_jpg.rf.2d5286305f29cec300d4acb64d3b50d1.jpg,3,40.5
faces/train/ffhq_104_png_jpg.rf.3bb8bda89f73c0c07b7bfc4445c43981.jpg,3,40.5
faces/train/ffhq_104_png_jpg.rf.4f0c712266e687fe1add49dc80aaf3c0.jpg,3,50.5
faces/train/ffhq_1050_png_jpg.rf.89909489b7b1dbdca2e78ffeeeedf755.jpg,3,10.0
faces/train/ffhq_1050_png_jpg.rf.d4a19a8df289dcdc1a33dced59d1134b.jpg,3,10.0
faces/train/ffhq_1050_png_jpg.rf.fce19dc5e868c2d01b1d076f7de18e57.jpg,3,10.0
faces/train/ffhq_1056_png_jpg.rf.3d665d3ffdcc2364e94914211d62d690.jpg,3,10.0
faces/train/ffhq_1056_png_jpg.rf.b7bda462d0795558312210352bbb4920.jpg,3,10.0
faces/train/ffhq_1056_png_jpg.rf.c49d07f1b20a82ffc1d20fc7bebd3fde.jpg,3,10.0
faces/train/ffhq_105_png_jpg.rf.68658d438c0c0a4d088e9b3d0554c152.jpg,6,10.0
faces/train/ffhq_105_png_jpg.rf.bc8b6f83ab02fa11d829e08e5f9260d5.jpg,6,10.0
